CPU_Usage,Internal_Temp,External_Temp,External_Humidity,Power_Draw,Solar_Wind,Grid_Price,Occupancy,Day,Hour,Active_Users,AI_Task_Load,Event
25.0,31.6,33.1,66.4,125.0,0.0,0.1,4,Saturday,0,435370.6,0,Heatwave
38.9,38.7,38.0,71.3,125.0,2.0,0.1,4,Saturday,1,819808.5,0,Heatwave
25.0,34.0,44.4,79.1,110.0,0.0,0.1,8,Saturday,2,500000.0,0,Maintenance
72.7,42.0,29.5,66.4,136.6,8.2,0.2,7,Saturday,3,1340089.8,0,Normal
36.7,37.1,28.6,74.5,110.0,6.4,0.1,1,Saturday,4,531424.6,0,Normal
31.4,34.0,36.5,65.0,125.0,14.2,0.1,3,Saturday,5,427187.6,1,Heatwave
50.5,34.5,20.1,79.7,110.0,10.9,0.1,8,Saturday,6,862526.0,0,Normal
54.9,42.0,32.9,92.2,112.2,16.6,0.1,3,Saturday,7,1122423.4,0,Normal
54.2,33.4,26.9,94.9,135.0,16.9,0.2,24,Saturday,8,828538.1,1,Power_Spike
87.5,42.0,27.3,83.3,184.1,17.2,0.2,17,Saturday,9,1949857.0,1,Heatwave
100.0,42.0,30.6,94.6,188.5,25.1,0.2,21,Saturday,10,2000000.0,1,AI_Demand_High
66.3,42.0,18.1,65.5,129.9,34.3,0.2,21,Saturday,11,1101949.7,0,Maintenance
40.9,38.0,34.8,76.9,125.0,27.7,0.2,13,Saturday,12,877763.9,0,Heatwave
100.0,42.0,20.9,73.2,164.3,35.5,0.2,13,Saturday,13,2261884.3,0,Normal
31.3,30.8,18.7,91.0,110.0,20.9,0.2,14,Saturday,14,606970.3,0,Maintenance
37.6,37.2,40.3,89.4,110.0,23.4,0.2,14,Saturday,15,703417.0,1,Normal
72.9,42.0,42.7,77.7,139.7,23.1,0.2,19,Saturday,16,1293809.4,1,AI_Demand_High
100.0,42.0,29.6,69.2,209.0,14.4,0.2,13,Saturday,17,2097414.8,1,Heatwave
44.7,38.0,32.6,73.0,110.0,12.7,0.2,2,Saturday,18,901040.7,0,Normal
76.8,42.0,25.5,73.7,130.9,21.6,0.2,8,Saturday,19,1571182.2,1,AI_Demand_High
29.4,27.0,31.3,94.4,110.0,18.8,0.2,5,Saturday,20,578948.3,1,Normal
87.5,42.0,29.8,91.7,171.6,11.3,0.1,9,Saturday,21,1467998.3,1,AI_Demand_High
45.0,38.0,25.3,70.8,110.0,2.3,0.1,7,Saturday,22,904220.1,0,Normal
25.0,32.5,36.9,73.3,110.0,11.5,0.1,7,Saturday,23,500000.0,0,Maintenance
56.2,39.6,21.4,68.3,110.0,3.7,0.1,7,Sunday,0,1249060.4,0,Normal
61.5,42.0,25.4,84.7,127.1,4.3,0.1,5,Sunday,1,1233926.4,0,Heatwave
25.0,29.2,38.7,92.2,110.0,15.7,0.0,8,Sunday,2,479345.3,0,Normal
70.8,42.0,36.0,81.6,139.3,3.6,0.1,8,Sunday,3,1327217.5,1,Normal
69.2,42.0,31.5,85.8,158.2,14.0,0.1,3,Sunday,4,1379339.5,1,Normal
56.3,42.0,30.6,87.4,126.2,6.8,0.0,8,Sunday,5,1042605.2,0,Normal
69.8,42.0,37.4,65.0,155.6,13.9,0.1,5,Sunday,6,1265159.7,0,Heatwave
38.7,37.3,29.8,93.0,110.0,31.9,0.1,3,Sunday,7,690362.4,0,Normal
93.7,42.0,34.6,70.8,193.1,26.3,0.2,20,Sunday,8,1842152.0,1,Heatwave
36.7,32.0,31.5,67.8,110.0,37.3,0.2,15,Sunday,9,853749.0,1,Normal
100.0,42.0,38.0,66.9,204.8,32.4,0.2,17,Sunday,10,2513234.1,1,Heatwave
70.0,42.0,36.7,83.0,147.8,34.5,0.2,21,Sunday,11,1324501.6,0,Maintenance
73.0,42.0,37.2,75.6,130.7,31.2,0.2,14,Sunday,12,1501254.3,0,Normal
84.5,42.0,28.2,86.0,162.4,31.5,0.2,22,Sunday,13,1602174.6,1,AI_Demand_High
68.7,42.0,29.2,91.5,133.3,23.5,0.2,14,Sunday,14,1492585.9,1,Normal
25.0,32.6,34.1,78.2,125.0,21.5,0.2,16,Sunday,15,735442.5,0,Heatwave
100.0,42.0,32.5,84.3,172.4,21.8,0.2,22,Sunday,16,2182124.1,0,Normal
59.2,38.6,30.2,80.4,130.0,19.8,0.2,23,Sunday,17,912060.2,1,AI_Demand_High
42.8,42.0,42.0,72.6,110.0,17.6,0.2,3,Sunday,18,1017293.9,0,Normal
38.3,42.0,38.0,68.6,125.0,15.3,0.2,1,Sunday,19,764206.1,0,Heatwave
55.1,40.1,42.3,73.8,135.0,11.4,0.2,2,Sunday,20,573321.0,0,Power_Spike
71.9,42.0,37.1,93.0,129.2,0.0,0.1,6,Sunday,21,1314266.1,0,Normal
46.8,42.0,44.2,92.2,110.0,7.9,0.1,2,Sunday,22,739087.3,0,Normal
29.4,31.7,35.2,69.7,110.0,2.2,0.1,8,Sunday,23,541476.6,0,Normal
25.3,35.8,44.0,89.7,110.0,0.0,0.1,6,Monday,0,500000.0,0,Maintenance
46.6,27.9,22.3,86.1,135.0,0.0,0.2,6,Monday,1,719724.6,0,Power_Spike
33.4,27.0,19.4,94.3,110.0,1.8,0.1,6,Monday,2,746125.8,1,Normal
